dataset,suite,model,seed,kind,device,wall_s,budget,split,acc,bacc,logloss,auroc,brier,ece,smece
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,0,id,0.8162,0.8104937507857171,0.39636109661009483,0.8968935130043517,0.12810529385076333,0.011704254069504377,0.013169782260545665
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,0,ood,0.6859221695513174,0.7528688510930464,0.5989647833529151,0.8341189520434804,0.20623153811488762,0.2870027955771296,0.2885531703936558
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,5,id,0.8176,0.811561249322772,0.3950326536861807,0.8974836599845732,0.12766138641858932,0.009894631897132845,0.012340529423804961
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,5,ood,0.686363135266233,0.7512831280866796,0.5932325564855504,0.8351209572075277,0.2048104952145535,0.286891071484261,0.28744970487114835
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,10,id,0.8176,0.811561249322772,0.3950326536861807,0.8974836599845732,0.12766138641858932,0.009894631897132845,0.012340529423804961
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,10,ood,0.686363135266233,0.7512831280866796,0.5932325564855504,0.8351209572075277,0.2048104952145535,0.286891071484261,0.28744970487114835
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,20,id,0.8176,0.811561249322772,0.3950326536861807,0.8974836599845732,0.12766138641858932,0.009894631897132845,0.012340529423804961
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,20,ood,0.686363135266233,0.7512831280866796,0.5932325564855504,0.8351209572075277,0.2048104952145535,0.286891071484261,0.28744970487114835
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,30,id,0.8184,0.8130002605392085,0.3974063504953106,0.8965195572522902,0.12841825781040428,0.014449721565943005,0.015568781609897995
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,30,ood,0.6882372395546247,0.7514151648446876,0.6031719562128987,0.8305797900692463,0.20637907996887153,0.2842563840616537,0.28525606090492955
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,0,id,0.8235,0.8171004610799009,0.3868842523691941,0.9024027337966053,0.12378035804198019,0.011393161583364113,0.013789531295257722
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,0,ood,0.7101752838716789,0.755897940970083,0.5581169571537626,0.8416349201587825,0.19092874659009199,0.27497183405870446,0.2764822863277673
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,5,id,0.8218,0.8150382727539045,0.3908119522809523,0.9004874353900246,0.1251086124434495,0.014275405636877209,0.015862466369003646
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,5,ood,0.7055451438650645,0.755598679017103,0.5502468361680032,0.8446247835814984,0.18939717657516972,0.27541112463723005,0.27859239416190335
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,10,id,0.8218,0.8150382727539045,0.3908119522809523,0.9004874353900246,0.1251086124434495,0.014275405636877209,0.015862466369003646
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,10,ood,0.7055451438650645,0.755598679017103,0.5502468361680032,0.8446247835814984,0.18939717657516972,0.27541112463723005,0.27859239416190335
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,20,id,0.8218,0.8150382727539045,0.3908119522809523,0.9004874353900246,0.1251086124434495,0.014275405636877209,0.015862466369003646
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,20,ood,0.7055451438650645,0.755598679017103,0.5502468361680032,0.8446247835814984,0.18939717657516972,0.27541112463723005,0.27859239416190335
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,30,id,0.8218,0.8150382727539045,0.3908119522809523,0.9004874353900246,0.1251086124434495,0.014275405636877209,0.015862466369003646
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,30,ood,0.7055451438650645,0.755598679017103,0.5502468361680032,0.8446247835814984,0.18939717657516972,0.27541112463723005,0.27859239416190335
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,0,id,0.817,0.8114942483126526,0.39138878991977544,0.8999728068535162,0.126072698198014,0.008225338523415062,0.012481405057300391
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,0,ood,0.6368647337669496,0.7387148311121674,0.6918675228441424,0.8314231588371432,0.24011172044932616,0.32888370456274807,0.3295426224081467
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,5,id,0.8138,0.8078164155506276,0.39741091214393626,0.8968961869083042,0.12832326987343373,0.016767051832312807,0.017467331218974397
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,5,ood,0.6894498952706427,0.7580486018332855,0.5679807787640002,0.8456762063865283,0.19726797847587388,0.28813104996720734,0.28816304920622254
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,10,id,0.8167,0.8108687522102956,0.3948346577219756,0.8980578786220949,0.12744097645453972,0.010961498718630516,0.0136229318774062
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,10,ood,0.6597949509425642,0.7465010900083042,0.6197097705417622,0.8404369109141583,0.21649683799756042,0.30860026525090734,0.3087060070104809
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,20,id,0.8167,0.8108687522102956,0.3948346577219756,0.8980578786220949,0.12744097645453972,0.010961498718630516,0.0136229318774062
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,20,ood,0.6597949509425642,0.7465010900083042,0.6197097705417622,0.8404369109141583,0.21649683799756042,0.30860026525090734,0.3087060070104809
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,30,id,0.8167,0.8108687522102956,0.3948346577219756,0.8980578786220949,0.12744097645453972,0.010961498718630516,0.0136229318774062
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,30,ood,0.6597949509425642,0.7465010900083042,0.6197097705417622,0.8404369109141583,0.21649683799756042,0.30860026525090734,0.3087060070104809
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,0,id,0.8125,0.8059719583985581,0.40204568807089625,0.8943414225026011,0.12926210493469636,0.012009668726584908,0.012908050083287813
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,0,ood,0.7034505567192151,0.7626727726616739,0.5698321996561441,0.8437197549295218,0.1948047447794408,0.277218176610503,0.27751912116157595
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,5,id,0.8125,0.8050948794247244,0.40739600864529935,0.8912620815734373,0.1314569013591778,0.014796369718084155,0.015545024291027918
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,5,ood,0.7198765295998236,0.7700277328468228,0.5365390537019125,0.8497220433957393,0.1839348996558978,0.2750680875283628,0.2748350237933124
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,10,id,0.8125,0.8050948794247244,0.40739600864529935,0.8912620815734373,0.1314569013591778,0.014796369718084155,0.015545024291027918
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,10,ood,0.7198765295998236,0.7700277328468228,0.5365390537019125,0.8497220433957393,0.1839348996558978,0.2750680875283628,0.2748350237933124
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,20,id,0.8125,0.8050948794247244,0.40739600864529935,0.8912620815734373,0.1314569013591778,0.014796369718084155,0.015545024291027918
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,20,ood,0.7198765295998236,0.7700277328468228,0.5365390537019125,0.8497220433957393,0.1839348996558978,0.2750680875283628,0.2748350237933124
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,30,id,0.8125,0.8050948794247244,0.40739600864529935,0.8912620815734373,0.1314569013591778,0.014796369718084155,0.015545024291027918
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,30,ood,0.7198765295998236,0.7700277328468228,0.5365390537019125,0.8497220433957393,0.1839348996558978,0.2750680875283628,0.2748350237933124
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,0,id,0.8122,0.8067478525666438,0.39850485587138573,0.896491762062767,0.12810829796561446,0.014642708481249527,0.014082654090544487
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,0,ood,0.686473376694962,0.76004851004851,0.6030663738610353,0.84154076384931,0.20726013964436507,0.29323397238096904,0.29316214364241056
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,5,id,0.8124,0.8073298021772526,0.4074464097490532,0.893230610748051,0.13053998980286813,0.02255992995366679,0.02264837418721982
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,5,ood,0.6895601366993717,0.7562778991746806,0.623323377043393,0.8328268505848971,0.20978608745779168,0.28881375171630924,0.28895899064004504
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,10,id,0.8134,0.807163365415839,0.4029117130745727,0.8950557900243082,0.12880506783736637,0.01629751617325947,0.015900225692503447
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,10,ood,0.6871348252673355,0.7581280161746311,0.6053505114769743,0.8406056103059433,0.20731964410535297,0.290791859543948,0.2915464442264895
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,20,id,0.8144,0.808535021061654,0.3998227793608612,0.8956179897458576,0.12857849477342678,0.008644442666802114,0.011448403470689136
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,20,ood,0.6980487267114982,0.7610257102487957,0.5672092268329795,0.8458755434338121,0.19626447610389536,0.2841122284710668,0.2839981029992023
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,30,id,0.8168,0.8114293414526679,0.39836808481761304,0.8964053175221718,0.12805075193552326,0.006775594760892073,0.011607478554137842
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,30,ood,0.6892294124131849,0.7611319165148245,0.5917572437487111,0.8427587708941762,0.20456030477380763,0.29192775775127744,0.29175194218127387
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,0,id,0.816,0.8104012452879754,0.400896251548311,0.8947310417145964,0.12957115893192112,0.01646550632832337,0.016487318719618015
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,0,ood,0.6806305809723294,0.7471606328432078,0.6185403074404401,0.8263845464178428,0.21322324315487629,0.28844707613851966,0.28829756244327304
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,5,id,0.8169,0.8108938764010608,0.3996956764664421,0.8956294092285869,0.1290679227932577,0.018484362975673862,0.018306442166908528
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,5,ood,0.6808510638297872,0.7468258619756954,0.6362288981661646,0.825901330340842,0.21650217335399874,0.2908123246017632,0.2906096469415633
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,10,id,0.8169,0.8108938764010608,0.3996956764664421,0.8956294092285869,0.1290679227932577,0.018484362975673862,0.018306442166908528
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,10,ood,0.6808510638297872,0.7468258619756954,0.6362288981661646,0.825901330340842,0.21650217335399874,0.2908123246017632,0.2906096469415633
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,20,id,0.8169,0.8108938764010608,0.3996956764664421,0.8956294092285869,0.1290679227932577,0.018484362975673862,0.018306442166908528
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,20,ood,0.6808510638297872,0.7468258619756954,0.6362288981661646,0.825901330340842,0.21650217335399874,0.2908123246017632,0.2906096469415633
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,30,id,0.8169,0.8108938764010608,0.3996956764664421,0.8956294092285869,0.1290679227932577,0.018484362975673862,0.018306442166908528
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,30,ood,0.6808510638297872,0.7468258619756954,0.6362288981661646,0.825901330340842,0.21650217335399874,0.2908123246017632,0.2906096469415633
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,0,id,0.8208,0.8145560021761962,0.3919890810032769,0.8993533563640783,0.1258281111869354,0.011125908482655928,0.014028572567313175
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,0,ood,0.7127108367324441,0.754109483854212,0.5494079127801307,0.8370060062623881,0.18764341122260578,0.26770771902668317,0.2674454615532656
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,5,id,0.8217,0.8153909248102968,0.39010587308001765,0.9007224260468626,0.12528118749658834,0.012422425728146376,0.01389453576415742
