dataset,suite,model,seed,kind,device,wall_s,split,acc,bacc,auroc,logloss,brier,ece,smece,optimism_gap,acc_degradation
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,id,0.8184,0.8130002605392085,0.8965195572522902,0.3974063504953106,0.12841825781040428,0.014449721565943005,0.015568781609897995,-0.008039159094820392,
acs_income_ca2pr,whyshift,catb,0,gbdt,cpu,175.0,ood,0.6882372395546247,0.7514151648446876,0.8305797900692463,0.6031719562128987,0.20637907996887153,0.2842563840616537,0.28525606090492955,,0.13016276044537534
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,id,0.8218,0.8150382727539045,0.9004874353900246,0.3908119522809523,0.1251086124434495,0.014275405636877209,0.015862466369003646,-0.02338566778410761,
acs_income_ca2pr,whyshift,catb,1,gbdt,cpu,169.7,ood,0.7055451438650645,0.755598679017103,0.8446247835814984,0.5502468361680032,0.18939717657516972,0.27541112463723005,0.27859239416190335,,0.11625485613493547
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,id,0.8167,0.8108687522102956,0.8980578786220949,0.3948346577219756,0.12744097645453972,0.010961498718630516,0.0136229318774062,-0.011728712397662044,
acs_income_ca2pr,whyshift,catb,2,gbdt,cpu,157.2,ood,0.6597949509425642,0.7465010900083042,0.8404369109141583,0.6197097705417622,0.21649683799756042,0.30860026525090734,0.3087060070104809,,0.15690504905743574
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,id,0.8125,0.8050948794247244,0.8912620815734373,0.40739600864529935,0.1314569013591778,0.014796369718084155,0.015545024291027918,-0.00699757130377493,
acs_income_ca2pr,whyshift,catb,3,gbdt,cpu,168.3,ood,0.7198765295998236,0.7700277328468228,0.8497220433957393,0.5365390537019125,0.1839348996558978,0.2750680875283628,0.2748350237933124,,0.09262347040017638
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,id,0.8168,0.8114293414526679,0.8964053175221718,0.39836808481761304,0.12805075193552326,0.006775594760892073,0.011607478554137842,-0.002427585328774462,
acs_income_ca2pr,whyshift,catb,4,gbdt,cpu,180.0,ood,0.6892294124131849,0.7611319165148245,0.8427587708941762,0.5917572437487111,0.20456030477380763,0.29192775775127744,0.29175194218127387,,0.12757058758681505
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,id,0.8169,0.8108938764010608,0.8956294092285869,0.3996956764664421,0.1290679227932577,0.018484362975673862,0.018306442166908528,-0.0032370482004159817,
acs_income_ca2pr,whyshift,lgbm,0,gbdt,cpu,231.5,ood,0.6808510638297872,0.7468258619756954,0.825901330340842,0.6362288981661646,0.21650217335399874,0.2908123246017632,0.2906096469415633,,0.13604893617021274
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,id,0.8215,0.8156199369062542,0.9022853215037541,0.38705109881109495,0.1241457322746747,0.012317857306689646,0.015798199744838093,-0.02261657456358812,
acs_income_ca2pr,whyshift,lgbm,1,gbdt,cpu,174.5,ood,0.7139234924484621,0.7575362863931121,0.8413273898845486,0.5438485506643757,0.1863336157732537,0.26908158989817105,0.268811461325213,,0.10757650755153791
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,id,0.8178,0.8113558645849919,0.9006390782089608,0.39228341892456237,0.1259145737608581,0.01905817041516902,0.018829668637384375,-0.010999039149007517,
acs_income_ca2pr,whyshift,lgbm,2,gbdt,cpu,199.4,ood,0.675890199536986,0.7495482548201748,0.8379456464917064,0.5916327567819047,0.20531874054576607,0.2959239741694295,0.2957067010514241,,0.14190980046301394
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,id,0.8108,0.8046126578192503,0.8954945476228046,0.40002307870934506,0.12853958510628363,0.012146044744931056,0.01579820905464269,-0.007788348114604771,
acs_income_ca2pr,whyshift,lgbm,3,gbdt,cpu,166.7,ood,0.7016866938595524,0.7575633987953633,0.8377754088075953,0.5760989149841643,0.19694857789626558,0.2811722945282386,0.28094455513680405,,0.10911330614044756
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,id,0.8125,0.8062139851466772,0.8958917376845792,0.3990477144526234,0.12856461856189463,0.00952403423989392,0.012208143257318596,-9.36598724583515e-05,
acs_income_ca2pr,whyshift,lgbm,4,gbdt,cpu,219.5,ood,0.6894498952706427,0.7589647831046278,0.8335197230868707,0.612990242342066,0.20929864784087288,0.29704556825606304,0.29685660710718753,,0.12305010472935729
acs_income_ca2pr,whyshift,logreg,0,linear,cpu,1.1,id,0.7868,0.7762410436541477,0.8648798612798487,0.45324646138862873,0.14662365768408359,0.020280334916261612,0.021220137034159987,,
acs_income_ca2pr,whyshift,logreg,0,linear,cpu,1.1,ood,0.7279241538970345,0.7630766384928427,0.8338607112192018,0.5261792942045835,0.1765585415604625,0.2713640536885315,0.27112129922026373,,0.05887584610296559
acs_income_ca2pr,whyshift,logreg,1,linear,cpu,1.1,id,0.7831,0.7724685112519838,0.8635745134613941,0.45393264014763574,0.14746543019328445,0.020916414470531244,0.02017774751706567,,
acs_income_ca2pr,whyshift,logreg,1,linear,cpu,1.1,ood,0.7294675338992394,0.7621075143272702,0.8347666372083686,0.5225065081931886,0.175331625961528,0.27077582872303846,0.2705245491584899,,0.05363246610076067
acs_income_ca2pr,whyshift,logreg,2,linear,cpu,1.1,id,0.7835,0.7737783585375237,0.8635955771105708,0.45619303426872765,0.1472656495279934,0.01240677480625432,0.01576131183322064,,
acs_income_ca2pr,whyshift,logreg,2,linear,cpu,1.1,ood,0.715356631021938,0.7597121367931579,0.8350340436910915,0.5402675426954765,0.18195625571361015,0.27785574162423504,0.27763166766512404,,0.06814336897806195
acs_income_ca2pr,whyshift,logreg,3,linear,cpu,1.1,id,0.781,0.7710204047663776,0.8585224165246099,0.4612130572168771,0.14992533909977368,0.016767439304429525,0.017008446550862432,,
acs_income_ca2pr,whyshift,logreg,3,linear,cpu,1.1,ood,0.7230735310329622,0.759447422322006,0.8342914330705673,0.5346175045739222,0.17984810179660202,0.27718167703923646,0.2769397971210202,,0.05792646896703779
acs_income_ca2pr,whyshift,logreg,4,linear,cpu,1.1,id,0.7829,0.7725306424181871,0.8599662965558137,0.4614786253722089,0.14938856691327487,0.01727349148192253,0.016397019590054362,,
acs_income_ca2pr,whyshift,logreg,4,linear,cpu,1.1,ood,0.7257193253224562,0.76001107826857,0.832315624768455,0.5305532120975706,0.17786338668417317,0.2714133139786185,0.2711683997690252,,0.05718067467754384
acs_income_ca2pr,whyshift,mlp,0,mlp,cpu,3.6,id,0.7964,0.7903403887616007,0.8799006174597046,0.42439429904984255,0.1386982602659763,0.013592666982859374,0.013371080459815712,,
acs_income_ca2pr,whyshift,mlp,0,mlp,cpu,3.6,ood,0.6689449895270643,0.747496044665856,0.8351442879744766,0.5841655418999192,0.20421486457744648,0.2954650993857596,0.2962917371086298,,0.12745501047293573
acs_income_ca2pr,whyshift,mlp,1,mlp,cpu,4.1,id,0.8004,0.7983036165643336,0.8818135457914584,0.42525171566537245,0.13785407438564792,0.027178033871203655,0.027317165330066513,,
acs_income_ca2pr,whyshift,mlp,1,mlp,cpu,4.1,ood,0.6612280895160402,0.7431798527802966,0.836358769766095,0.5923209197070416,0.20653961025589285,0.3019281113439155,0.3035736113828155,,0.13917191048395983
acs_income_ca2pr,whyshift,mlp,2,mlp,cpu,4.3,id,0.7938,0.7856279818841316,0.8796995494179534,0.4265856435714898,0.13918102371372762,0.020286838429793716,0.01972200714212581,,
acs_income_ca2pr,whyshift,mlp,2,mlp,cpu,4.3,ood,0.6829456509756366,0.750745943587231,0.8356920482336687,0.5664553642775022,0.19777289373550536,0.2801513842804674,0.283169445400912,,0.11085434902436331
acs_income_ca2pr,whyshift,mlp,3,mlp,cpu,3.9,id,0.7946,0.7878818267439651,0.876589609891354,0.4314346540871159,0.14095334810463397,0.021248972733132546,0.02175093431122456,,
acs_income_ca2pr,whyshift,mlp,3,mlp,cpu,3.9,ood,0.6906625509866607,0.7523135916587637,0.8339174357487344,0.5847225244432727,0.201179711168023,0.28879282633467923,0.289334598318006,,0.10393744901333923
acs_income_ca2pr,whyshift,mlp,4,mlp,cpu,4.5,id,0.7958,0.7897898326413013,0.8780140347054565,0.42914545320285014,0.13976420164730524,0.01654104158468545,0.016061675619620235,,
acs_income_ca2pr,whyshift,mlp,4,mlp,cpu,4.5,ood,0.6832763752618234,0.7559699202318515,0.8364983056991936,0.5700940228117003,0.19819129584277603,0.29361632982419444,0.29366284315421426,,0.11252362473817656
acs_income_ca2pr,whyshift,tabicl,0,tfm,cuda,15.8,id,0.8223,0.8159112851572652,0.902164939207242,0.3885018341410186,0.12504694869307498,0.021350615163892497,0.021446250894330627,,
acs_income_ca2pr,whyshift,tabicl,0,tfm,cuda,15.8,ood,0.7080806967258295,0.7611396720719695,0.8384619358537229,0.5839011134337352,0.1974513672665568,0.2674168544190943,0.27016417860742437,,0.11421930327417051
acs_income_ca2pr,whyshift,tabicl,1,tfm,cuda,15.7,id,0.8266,0.8214889738730247,0.9073870267886028,0.3781234353496954,0.12087338237585245,0.014372213681042191,0.01603032361770951,,
acs_income_ca2pr,whyshift,tabicl,1,tfm,cuda,15.7,ood,0.7202072538860104,0.7656318061423499,0.8481238217642213,0.567580505120724,0.19105743950748594,0.2679573214756537,0.2709623649391171,,0.10639274611398963
acs_income_ca2pr,whyshift,tabicl,2,tfm,cuda,15.7,id,0.8278,0.8224315227880965,0.9066713770040633,0.3792106818124315,0.12172953571557482,0.0137081121938303,0.016440889908130543,,
acs_income_ca2pr,whyshift,tabicl,2,tfm,cuda,15.7,ood,0.6806305809723294,0.7558643549209587,0.8450512110334529,0.6224028785824113,0.21235478158932478,0.290765327152073,0.2929284463591967,,0.14716941902767056
acs_income_ca2pr,whyshift,tabicl,3,tfm,cuda,15.7,id,0.8202,0.8142665302349199,0.9017050476530509,0.39050135301354405,0.12469335344706962,0.020946115939132863,0.020249053608468418,,
acs_income_ca2pr,whyshift,tabicl,3,tfm,cuda,15.7,ood,0.7042222467203175,0.7621882105788876,0.8472884008400101,0.5901041541208154,0.20016895196767073,0.2753182000097324,0.2771125783802138,,0.11597775327968252
acs_income_ca2pr,whyshift,tabicl,4,tfm,cuda,15.7,id,0.8206,0.8153211243034855,0.9016529767880692,0.39021452077914476,0.12520135474580096,0.01873153933864087,0.018551069387574576,,
acs_income_ca2pr,whyshift,tabicl,4,tfm,cuda,15.7,ood,0.7026788667181126,0.7649896972871446,0.8473157696243157,0.597682390261618,0.20236821751465267,0.27986829458932905,0.2814655639442975,,0.11792113328188736
acs_income_ca2pr,whyshift,tabpfn25,0,tfm,cuda,14.5,id,0.818,0.8110972311456487,0.8991128789019391,0.3931306756579555,0.12682826899343888,0.016523277975618842,0.01752461030144612,,
acs_income_ca2pr,whyshift,tabpfn25,0,tfm,cuda,14.5,ood,0.7131518024473598,0.7580208484758985,0.8357519134433673,0.5737165952490458,0.19430839614672368,0.26641643341688603,0.26720420029974296,,0.10484819755264019
acs_income_ca2pr,whyshift,tabpfn25,1,tfm,cuda,14.6,id,0.8206,0.8139911942441073,0.903281789834985,0.3846966031182465,0.12355812624437473,0.010814304777234796,0.012784177007381816,,
